RECORDEDATTIME,DIRECTIONREF,VEHICLEREF,VEHICLELOCATION_LATITUDE,VEHICLELOCATION_LONGITUDE,EXPECTEDARRIVALTIME,SCHEDULEDARRIVALTIME
01-06-2017 00:03,1,NYCT_4847,40.652561,-73.886034,01-06-2017 00:04,00:05:49
01-06-2017 00:03,0,NYCT_6067,40.790958,-73.945122,01-06-2017 00:03,23:57:13
01-06-2017 00:03,0,NYCT_5620,40.731631,-73.982368,01-06-2017 00:03,24:04:00
01-06-2017 00:03,0,NYCT_6619,40.645122,-73.902297,01-06-2017 00:04,24:06:37
01-06-2017 00:03,1,NYCT_2673,40.663263,-73.998614,01-06-2017 00:07,24:11:12
01-06-2017 00:03,1,NYCT_8194,40.644027,-74.079676,01-06-2017 00:04,24:05:39
01-06-2017 00:03,0,NYCT_8099,40.738545,-73.800918,01-06-2017 00:03,23:54:24
01-06-2017 00:03,1,NYCT_2477,40.647138,-74.015261,01-06-2017 00:05,24:04:44
01-06-2017 00:03,1,NYCT_5932,40.784017,-73.980388,01-06-2017 00:05,23:56:00
01-06-2017 00:03,1,NYCT_5888,40.723581,-73.991066,01-06-2017 00:03,24:04:00
01-06-2017 00:03,0,NYCT_6686,40.846656,-73.938309,NA,23:57:00
01-06-2017 00:03,1,NYCT_756,40.623161,-73.989144,01-06-2017 00:03,23:40:07
01-06-2017 00:03,0,NYCT_5903,40.842007,-73.876121,01-06-2017 00:03,23:53:00
01-06-2017 00:03,1,NYCT_5634,40.715869,-73.996281,NA,23:54:33
01-06-2017 00:03,1,NYCT_5039,40.620103,-73.908259,01-06-2017 00:03,23:48:00
01-06-2017 00:03,0,NYCT_6645,40.778986,-73.981351,01-06-2017 00:04,24:05:57
01-06-2017 00:03,0,NYCT_6579,40.681925,-73.959459,01-06-2017 00:04,24:05:04
01-06-2017 00:03,0,NYCT_3935,40.780511,-73.946724,01-06-2017 00:05,23:50:00
01-06-2017 00:03,0,NYCT_449,40.610358,-73.999045,01-06-2017 00:04,24:04:25
01-06-2017 00:03,0,NYCT_8472,40.701889,-73.738324,NA,24:02:49
01-06-2017 00:03,0,NYCT_3984,40.725302,-73.896452,01-06-2017 00:04,24:08:55
01-06-2017 00:03,1,NYCT_2603,40.720731,-74.000751,01-06-2017 00:04,24:04:41
01-06-2017 00:03,0,NYCT_8412,40.709455,-73.768232,01-06-2017 00:04,24:01:36
01-06-2017 00:03,1,NYCT_7702,40.809498,-73.855353,01-06-2017 00:03,23:57:04
01-06-2017 00:03,0,NYCT_6573,40.677962,-73.897421,01-06-2017 00:04,24:01:21
01-06-2017 00:03,0,NYCT_7147,40.637107,-74.036189,NA,NA
01-06-2017 00:03,1,NYCT_8166,40.643253,-74.074295,01-06-2017 00:04,24:00:44
01-06-2017 00:03,0,NYCT_6736,40.727252,-74.003324,01-06-2017 00:04,23:58:00
01-06-2017 00:03,1,NYCT_4762,40.867401,-73.88339,01-06-2017 00:04,24:07:00
01-06-2017 00:03,1,NYCT_4601,40.683814,-73.929238,01-06-2017 00:04,24:04:50
01-06-2017 00:03,1,NYCT_6003,40.838354,-73.876913,01-06-2017 00:04,24:02:20
01-06-2017 00:03,1,NYCT_4123,40.72771,-73.981907,01-06-2017 00:03,24:01:41
01-06-2017 00:03,1,NYCT_4432,40.748941,-73.832965,01-06-2017 00:04,24:03:36
01-06-2017 00:03,1,NYCT_3921,40.753554,-73.96735,01-06-2017 00:04,24:01:00
01-06-2017 00:03,0,NYCT_7239,40.624855,-73.917826,01-06-2017 00:04,24:01:02
01-06-2017 00:03,1,NYCT_5976,40.74388,-73.973745,01-06-2017 00:03,24:03:00
01-06-2017 00:03,1,NYCT_446,40.657305,-73.997629,01-06-2017 00:04,24:04:08
01-06-2017 00:03,0,NYCT_5681,40.868462,-73.867264,NA,23:43:29
01-06-2017 00:03,0,NYCT_4461,40.765609,-73.789251,01-06-2017 00:03,24:12:45
